,code,country,total_cases,total_deaths
0,USA,United States,"6,529,319","194,624 "
1,IND,India,"4,462,965","75,091 "
2,BRA,Brazil,"4,179,471","128,119 "
3,RUS,Russian Federation,"1,041,007","18,135 "
4,PER,Peru,"696,190","30,123 "
5,COL,Colombia,"679,513","21,817 "
6,MEX,Mexico,"642,860","68,484 "
7,ZAF,South Africa,"640,441","15,086 "
8,ESP,Spain,"543,379","29,628 "
9,ARG,Argentina,"500,034","10,457 "
10,CHL,Chile,"427,027","11,702 "
11,IRN,"Iran, Islamic Republic of","393,425","22,669 "
12,GBR,United Kingdom,"355,219","41,594 "
13,FRA,France,"344,101","30,794 "
14,BGD,Bangladesh,"331,078","4,593 "
15,SAU,Saudi Arabia,"323,012","4,165 "
16,PAK,Pakistan,"299,659","6,359 "
17,TUR,Turkey,"284,943","6,837 "
18,ITA,Italy,"281,583","35,577 "
19,IRQ,Iraq,"269,578","7,657 "
20,DEU,Germany,"255,681","9,409 "
21,PHL,Philippines,"245,143","3,986 "
22,IDN,Indonesia,"203,342","8,336 "
23,UKR,Ukraine,"143,030","2,979 "
24,ISR,Israel,"140,658","1,053 "
25,CAN,Canada,"134,077","9,154 "
26,BOL,"Bolivia, Plurinational State of","122,308","7,097 "
27,QAT,Qatar,"120,846",205 
28,ECU,Ecuador,"112,166","10,701 "
29,KAZ,Kazakhstan,"106,498","1,634 "
30,DOM,Dominican Republic,"100,937","1,914 "
31,EGY,Egypt,"100,228","5,560 "
32,PAN,Panama,"98,407","2,107 "
33,ROU,Romania,"98,304","4,018 "
34,KWT,Kuwait,"92,082",552 
35,BEL,Belgium,"89,141","9,912 "
36,OMN,Oman,"87,939",751 
37,SWE,Sweden,"85,880","5,842 "
38,GTM,Guatemala,"78,721","2,890 "
39,MAR,Morocco,"77,878","1,453 "
40,NLD,Netherlands,"77,688","6,246 "
41,UAE,UAE,"75,981",393 
42,BLR,Belarus,"73,402",726 
43,JPN,Japan,"72,234","1,377 "
44,POL,Poland,"71,947","2,147 "
45,HND,Honduras,"65,218","2,034 "
46,PRT,Portugal,"61,541","1,849 "
47,ETH,Ethiopia,"60,784",949 
48,SGP,Singapore,"57,166",27 
49,BHR,Bahrain,"56,778",203 
50,Venezuela,Venezuela,"55,563",444 
51,NGA,Nigeria,"55,456","1,067 "
52,CRI,Costa Rica,"49,897",531 
53,NPL,Nepal,"49,219",312 
54,DZA,Algeria,"47,216","1,581 "
55,CHE,Switzerland,"45,306","2,019 "
56,GHA,Ghana,"45,188",283 
57,ARM,Armenia,"45,152",905 
58,UZB,Uzbekistan,"44,781",364 
59,KGZ,Kyrgyzstan,"44,613","1,061 "
60,Moldova,Moldova,"41,144","1,096 "
61,AFG,Afghanistan,"38,544","1,420 "
62,AZE,Azerbaijan,"37,732",555 
63,KEN,Kenya,"35,460",607 
64,SRB,Serbia,"32,078",728 
65,AUT,Austria,"30,583",747 
66,CZE,Czechia,"30,576",444 
67,IRL,Ireland,"30,164","1,781 "
68,Palestine,Palestine,"27,919",192 
69,SLV,El Salvador,"26,602",770 
70,AUS,Australia,"26,465",781 
71,PRY,Paraguay,"24,214",463 
72,BIH,Bosnia and Herzegovina,"22,258",675 
73,LBN,Lebanon,"21,877",212 
74,S. Korea,S. Korea,"21,588",344 
75,LBY,Libya,"20,462",324 
76,CMR,Cameroon,"19,848",415  
77,Ivory Coast,Ivory Coast,"18,778",119 
78,DNK,Denmark,"18,607",628 
79,BGR,Bulgaria,"17,313",692 
80,MDG,Madagascar,"15,520",206 
81,MKD,North Macedonia,"15,293",634 
82,SEN,Senegal,"14,102",293 
83,SDN,Sudan,"13,437",833 
84,ZMB,Zambia,"13,112",300 
85,HRV,Croatia,"12,626",206 
86,GRC,Greece,"12,080",293 
87,NOR,Norway,"11,685",264 
88,ALB,Albania,"10,704",322 
89,COD,COD,"10,324",260 
90,GIN,Guinea,"9,848",63 
91,HUN,Hungary,"9,715",628 
92,MYS,Malaysia,"9,583",128 
93,GUF,French Guiana,"9,387",62 
94,NAM,Namibia,"9,108",93 
95,TJK,Tajikistan,"8,899",71 
96,MDV,Maldives,"8,834",31 
